,cohort,cohort_yr4_TF,no_donors,amount_yr0,amount_yr1,amount_yr2,amount_yr3,amount_yr4,count_yr0,count_yr1,count_yr2,count_yr3,count_yr4,lapsed_after_first_long,lapsed_after_second,lapsed_multi_year,lapsed_long_multi_year,lapsed_key_multi_year,lapsed_long,cohort_0_first_gift,cohort_1_lapsed_after_first,cohort_1_second_year,cohort_2_lapsed_after_first_long,cohort_2_lapsed_after_second,cohort_2_multi_year,cohort_2_second_with_gap,cohort_3_first_gift,cohort_3_inconsistent_multi_year,cohort_3_key_multi_year,cohort_3_lapsed_after_second,cohort_3_lapsed_long,cohort_3_lapsed_multi_year,cohort_4_first_gift,cohort_4_inconsistent_multi_year,cohort_4_key_multi_year,cohort_4_lapsed_after_first,cohort_4_lapsed_key_multi_year,cohort_4_lapsed_long,cohort_4_lapsed_long_multi_year,cohort_4_lapsed_multi_year,cohort_4_multi_year,cohort_4_recovered_multi_year,cohort_4_second_year,cohort_5_first_gift,cohort_5_inconsistent_multi_year,cohort_5_key_multi_year,cohort_5_lapsed_after_first,cohort_5_lapsed_after_first_long,cohort_5_lapsed_after_second,cohort_5_lapsed_key_multi_year,cohort_5_lapsed_long,cohort_5_lapsed_long_key_multi_year,cohort_5_lapsed_long_multi_year,cohort_5_lapsed_multi_year,cohort_5_multi_year,cohort_5_recovered_key_multi_year,cohort_5_recovered_multi_year,cohort_5_second_with_gap,cohort_5_second_year,cohort_6_first_gift,cohort_6_key_multi_year,cohort_6_lapsed_after_first,cohort_6_lapsed_after_first_long,cohort_6_lapsed_after_second,cohort_6_lapsed_key_multi_year,cohort_6_lapsed_long,cohort_6_lapsed_long_key_multi_year,cohort_6_lapsed_long_multi_year,cohort_6_multi_year,lapsed_amount_yr0,lapsed_amount_yr1,lapsed_amount_yr2,lapsed_amount_yr3,lapsed_amount_yr4,upgraded_amount_yr0,upgraded_amount_yr1,upgraded_amount_yr2,upgraded_amount_yr3,upgraded_amount_yr4,downgraded_amount_yr0,downgraded_amount_yr1,downgraded_amount_yr2,downgraded_amount_yr3,downgraded_amount_yr4,amount_total,count_total,neg_yr
10,2013,T,-227808,-13932981.82,-0.0,-0.0,-0.0,-0.0,-281367,0,0,0,0,0,0,0,0,0,-226479,-227808,-227808,0,-227808,0,0,0,0,0,0,0,-227808,0,0,0,0,0,0,-227808,0,0,0,0,0,-1329,0,0,0,0,0,0,-226478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-13932981.82,-281367,-1
11,2013,TFFFT,5010,395075.69,0.0,0.0,0.0,532082.25,7167,0,0,0,8113,0,0,0,0,0,0,5010,5010,0,5010,0,0,0,0,0,0,0,5010,0,5010,0,0,0,0,0,0,0,0,0,0,0,0,0,4508,0,0,0,0,0,0,0,0,0,0,0,502,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927157.94,15280,1
12,2013,TFFT,-6773,-538437.1,-0.0,-0.0,-611542.04,-0.0,-9340,0,0,-8946,0,-6459,0,0,0,0,0,-6773,-6773,0,-6773,0,0,0,-6773,0,0,0,0,0,0,0,0,-6773,0,0,0,0,0,0,0,0,0,0,0,-6459,0,0,0,0,0,0,0,0,0,-314,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1149979.14,-18286,-1
13,2013,TFFTT,2195,227617.39,0.0,0.0,386284.93,457401.21,3783,0,0,4520,9585,0,1740,0,0,0,0,2195,2195,0,2195,0,0,0,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2195,0,0,0,0,0,1740,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211357.6,0.0,0.0,0.0,0.0,140241.32,1071303.53,17888,1
14,2013,TFT,-10390,-1631608.53,-0.0,-1074627.91,-0.0,-0.0,-15530,0,-13997,0,0,0,0,0,0,0,-10136,-10390,-10390,0,0,0,0,-10390,0,0,0,-10390,0,0,0,0,0,0,0,-10390,0,0,0,0,0,-254,0,0,0,0,0,0,-10136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2706236.44,-29527,-1
15,2013,TFTFT,1453,146542.84,0.0,167583.92,0.0,184624.84,2475,0,2503,0,2766,0,0,1172,0,0,0,1453,1453,0,0,0,0,1453,0,0,0,1453,0,0,0,1453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498751.6,7744,1
16,2013,TFTT,-2412,-246634.92,-0.0,-315060.81,-293009.9,-0.0,-3985,0,-4140,-3852,0,0,0,0,-2231,0,0,-2412,-2412,0,0,0,0,-2412,0,-2412,0,0,0,0,0,0,0,0,0,0,0,-2412,0,0,0,0,0,0,0,0,0,0,0,0,-2231,0,0,0,-181,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-108487.57,-0.0,-0.0,-0.0,-0.0,-130538.48,-0.0,-854705.63,-11977,-1
17,2013,TFTTT,1898,273684.57,0.0,390220.25,489484.41,540791.94,3968,0,4913,6291,7014,0,0,1292,0,0,0,1898,1898,0,0,0,0,1898,0,1898,0,0,0,0,0,0,0,0,0,0,0,0,1898,0,0,0,0,606,0,0,0,0,0,0,0,1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242386.11,212530.84,0.0,0.0,0.0,143121.95,161223.31,1694181.17,22186,1
18,2013,TT,-28817,-3655885.41,-3068061.26,-0.0,-0.0,-0.0,-64748,-51534,0,0,0,0,0,0,0,0,-28354,-28817,0,-28817,0,-28817,0,0,0,0,0,0,-28817,0,0,0,0,0,0,-28817,0,0,0,0,0,-463,0,0,0,0,0,0,-28354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1233213.39,-0.0,-0.0,-0.0,-0.0,-1821037.54,-0.0,-0.0,-0.0,-6723946.67,-116282,-1
19,2013,TTFFT,2196,278396.7,313141.03,0.0,0.0,285465.61,6416,4953,0,0,4562,0,0,0,0,0,0,2196,0,2196,0,2196,0,0,0,0,0,0,2196,0,2196,0,0,0,0,0,0,0,0,0,0,0,0,0,1825,0,0,0,0,0,0,0,0,0,0,0,371,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153630.2,0.0,0.0,0.0,0.0,118885.87,0.0,0.0,0.0,877003.34,15931,1
20,2013,TTFT,-3075,-404406.92,-444217.5,-0.0,-370153.49,-0.0,-6844,-6236,0,-4692,0,0,0,0,-2876,0,0,-3075,0,-3075,0,-3075,0,0,0,-3075,0,0,0,0,0,0,0,0,0,0,0,-3075,0,0,0,0,0,0,0,0,0,0,0,0,-2876,0,0,0,-199,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-212685.47,-0.0,-0.0,-0.0,-0.0,-172874.89,-0.0,-0.0,-0.0,-1218777.91,-17772,-1
21,2013,TTFTT,1962,335331.87,371148.57,0.0,449079.65,473806.14,5221,5439,0,5243,7773,0,0,1392,0,0,0,1962,0,1962,0,1962,0,0,0,1962,0,0,0,0,0,0,0,0,0,0,0,0,1962,0,0,0,0,570,0,0,0,0,0,0,0,1392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153499.3,0.0,0.0,204404.59,0.0,117682.6,0.0,0.0,179678.1,1629366.23,23676,1
22,2013,TTT,-9423,-1528295.34,-1641129.66,-1231026.1,-0.0,-0.0,-26455,-29234,-19173,0,0,0,0,0,-9033,0,0,-9423,0,-9423,0,0,-9423,0,0,0,0,0,0,-9423,0,0,0,0,0,0,-9423,0,0,0,0,-390,0,0,0,0,0,0,0,0,-9033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-746847.0,-407819.41,-0.0,-0.0,-0.0,-634012.68,-817922.97,-0.0,-0.0,-4400451.1,-74862,-1
23,2013,TTTFT,2337,482861.09,541433.6,523237.0,0.0,511597.68,10972,10517,7010,0,6532,0,0,1776,0,0,0,2337,0,2337,0,0,2337,0,0,0,0,0,0,2337,0,0,0,0,0,0,0,0,0,2337,0,0,561,0,0,0,0,0,0,0,0,1776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242534.37,228593.89,0.0,0.0,0.0,183961.86,246790.49,0.0,0.0,2059129.37,35031,1
24,2013,TTTT,-4442,-1124336.2,-1288298.15,-1121177.56,-871183.11,-0.0,-18751,-24645,-16516,-10464,0,0,0,0,0,0,0,-4442,0,-4442,0,0,-4442,0,0,0,-4442,0,0,0,0,0,0,0,-4442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3924,0,0,0,-518,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-611263.07,-385361.77,-285801.08,-0.0,-0.0,-447301.12,-552482.36,-535795.53,-0.0,-4404995.02,-70376,-1
